Car Name,Brand,Model Name,Model Year,KM Driven,Fuel Type,Transmission,Location,Price,EMI
2021 BMW 3-Series xDrive,BMW,2021  3-Series xDrive,2021,"40,160 km",Petrol,Manual,"Banjara Hills Hyderabad, Hyderabad",Rs. 58 LakhRs,Rs. 1.04
2019 Mercedes-Benz C-Class C 220d Progressive [2018-2019],Mercedes-Benz,2019  C-Class C 220d Progressive [2018-2019],2019,"25,000 km",Diesel,Manual,"Jubilee Hills, Hyderabad",Rs. 40 Lakh,"Rs. 71,993"
"2012 Toyota Corolla Altis G Diesel1,",Toyota,"2012  Corolla Altis G Diesel1,",2012,"42,100 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 4.45 LakhMake,N/A
2009 Hyundai i10 Asta 1.2 AT with Sunroof,Hyundai,2009  i10 Asta 1.2 AT with Sunroof,2009,"62,100 km",Petrol,Automatic,"Attapur, Hyderabad",Rs. 2.85 LakhMake,N/A
2020 Mercedes-Benz E-Class E 220 d Avantgarde,Mercedes-Benz,2020  E-Class E 220 d Avantgarde,2020,"43,299 km",Diesel,Manual,"Begumpet, Hyderabad",Rs. 55 Lakh,"Rs. 98,990"
2022 Hyundai Venue SX 1.5 CRDi,Hyundai,2022  Venue SX 1.5 CRDi,2022,"48,900 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 11.95 Lakh,"Rs. 21,508"
"2012 Ford Figo Duratorq Diesel ZXI 1.41,",Ford,"2012  Figo Duratorq Diesel ZXI 1.41,",2012,"19,000 km",Diesel,Manual,"L.B. Nagar Main Rd., Hyderabad",Rs. 2.35 LakhMake,N/A
2022 Toyota Innova Crysta ZX 2.4 7 STR,Toyota,2022  Innova Crysta ZX 2.4 7 STR,2022,"70,936 km",Diesel,Manual,"Banjara Hills Hyderabad, Hyderabad",Rs. 22.5 Lakh,"Rs. 40,496"
2023 Maruti Suzuki Ertiga VXi (O) CNG [2022-2023],Maruti,2023  Suzuki Ertiga VXi (O) CNG [2022-2023],2023,"47,924 km",CNG,Manual,N/A,Rs. 11.5 LakhMake,N/A
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Mahindra,2021  Thar LX Hard Top Diesel AT 4WD [2023],2021,"22,455 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 15.5 Lakh,"Rs. 27,897"
2019 BMW X1 sDrive20d xLine,BMW,2019  X1 sDrive20d xLine,2019,"58,803 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 29 Lakh,"Rs. 52,195"
2017 Hyundai Creta SX Plus 1.6  Petrol,Hyundai,2017  Creta SX Plus 1.6  Petrol,2017,"60,663 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 8.7 Lakh,"Rs. 15,658"
2020 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],Hyundai,2020  Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],2020,"43,734 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 14 Lakh,"Rs. 25,197"
2021 Volkswagen Polo Trendline 1.0L MPI,Volkswagen,2021  Polo Trendline 1.0L MPI,2021,"45,591 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 6.3 Lakh,"Rs. 11,338"
2020 Tata Nexon XZA Plus (O),Tata,2020  Nexon XZA Plus (O),2020,"29,222 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 11 Lakh,"Rs. 19,798"
2018 Tata Tiago Revotron XTA [2017-2019],Tata,2018  Tiago Revotron XTA [2017-2019],2018,"72,572 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 4.25 Lakh,"Rs. 7,649"
2019 Hyundai Verna 1.6 VTVT SX,Hyundai,2019  Verna 1.6 VTVT SX,2019,"39,336 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 8.5 LakhRs,"Rs. 15,298"
2023 Kia Carens Luxury Plus 1.5 Diesel 7 STR,Kia,2023  Carens Luxury Plus 1.5 Diesel 7 STR,2023,"30,800 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 16.5 LakhRs,"Rs. 29,697"
2021 Volkswagen Polo Highline Plus 1.0L TSI AT,Volkswagen,2021  Polo Highline Plus 1.0L TSI AT,2021,"15,330 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 9.75 Lakh,"Rs. 17,548"
2017 Volkswagen Polo GT TDI,Volkswagen,2017  Polo GT TDI,2017,"78,586 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 6.5 Lakh,"Rs. 11,698"
2021 Mahindra Thar LX Hard Top Diesel MT 4WD,Mahindra,2021  Thar LX Hard Top Diesel MT 4WD,2021,"28,800 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 15 Lakh,"Rs. 26,997"
2022 Mahindra Thar LX Convertible Top Diesel MT 4WD [2023],Mahindra,2022  Thar LX Convertible Top Diesel MT 4WD [2023],2022,"12,150 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 17.5 LakhMake,N/A
2021 Mahindra Thar LX Convertible Petrol AT,Mahindra,2021  Thar LX Convertible Petrol AT,2021,"15,000 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 14 Lakh,"Rs. 25,197"
2022 Mahindra Thar LX Convertible Top Diesel MT 4WD [2023],Mahindra,2022  Thar LX Convertible Top Diesel MT 4WD [2023],2022,"4,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 16.5 LakhMake,N/A
2022 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Mahindra,2022  Thar LX Hard Top Diesel AT 4WD [2023],2022,"45,000 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 17 Lakh,"Rs. 30,597"
2023 Maruti Suzuki Baleno Zeta AGS [2022-2023],Maruti,2023  Suzuki Baleno Zeta AGS [2022-2023],2023,"22,304 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 8.75 LakhRs,"Rs. 15,748"
2023 Maruti Suzuki FRONX Delta Plus 1.2L AGS,Maruti,2023  Suzuki FRONX Delta Plus 1.2L AGS,2023,"50,047 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 8.5 Lakh,"Rs. 15,298"
2018 Honda City V CVT Petrol [2017-2019],Honda,2018  City V CVT Petrol [2017-2019],2018,"51,985 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 9.5 Lakh,"Rs. 17,098"
2020 Maruti Suzuki Vitara Brezza ZDi Plus,Maruti,2020  Suzuki Vitara Brezza ZDi Plus,2020,"74,574 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 9.8 Lakh,"Rs. 17,638"
2019 Maruti Suzuki Wagon R VXi 1.0 AMT [2019-2019],Maruti,2019  Suzuki Wagon R VXi 1.0 AMT [2019-2019],2019,"78,548 km",Petrol,Automatic,"Uppal, Hyderabad",Rs. 4.85 Lakh,"Rs. 8,729"
2021 Maruti Suzuki XL6 Zeta MT Petrol,Maruti,2021  Suzuki XL6 Zeta MT Petrol,2021,"29,640 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 10.25 LakhMake,N/A
2023 Maruti Suzuki Baleno Zeta (O) 1.,Maruti,2023  Suzuki Baleno Zeta (O) 1.,2023,"250,298 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 8.35 Lakh,"Rs. 15,028"
2015 Hyundai Verna Fluidic 1.6 VTVT SX AT,Hyundai,2015  Verna Fluidic 1.6 VTVT SX AT,2015,"85,479 km",Petrol,Automatic,"Uppal, Hyderabad",Rs. 5.5 Lakh,"Rs. 9,899"
"2020 MG Gloster Savvy 6 STR 2.0 Twin Turbo 4WD1,",MG,"2020  Gloster Savvy 6 STR 2.0 Twin Turbo 4WD1,",2020,"03,851 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 26.5 Lakh,"Rs. 47,695"
2017 Maruti Suzuki DZire VDi AMT,Maruti,2017  Suzuki DZire VDi AMT,2017,"68,818 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 6.95 Lakh,"Rs. 12,508"
2020 Kia Sonet GTX Plus 1.5 AT [2020-2021],Kia,2020  Sonet GTX Plus 1.5 AT [2020-2021],2020,"61,116 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 11.9 LakhRs,"Rs. 21,418"
2021 Audi A4 Technology 40 TFSI [2021-2022],Audi,2021  A4 Technology 40 TFSI [2021-2022],2021,"24,886 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 36 Lakh,"Rs. 64,794"
2020 MG Hector Sharp Hybrid 1.5 Petrol [2019-2020],MG,2020  Hector Sharp Hybrid 1.5 Petrol [2019-2020],2020,"69,150 km",Hybrid,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2019 Honda Jazz VX CVT Petrol,Honda,2019  Jazz VX CVT Petrol,2019,"48,784 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 7 Lakh,"Rs. 12,598"
2015 Mercedes-Benz CLS 250 CDI,Mercedes-Benz,2015  CLS 250 CDI,2015,"95,400 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 23.5 Lakh,"Rs. 42,296"
2022 Skoda Slavia Style 1.0L TSI AT,Skoda,2022  Slavia Style 1.0L TSI AT,2022,"18,421 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 16.5 Lakh,"Rs. 29,697"
2015 Hyundai Elantra 1.8 SX AT,Hyundai,2015  Elantra 1.8 SX AT,2015,"81,392 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 7.8 Lakh,"Rs. 14,038"
2021 Volvo XC60 Inscription [2017-2020],Volvo,2021  XC60 Inscription [2017-2020],2021,"45,516 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 51.5 Lakh,"Rs. 92,691"
2018 BMW X5 xDrive 30d,BMW,2018  X5 xDrive 30d,2018,"70,300 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 44.95 Lakh,"Rs. 80,902"
2019 Jaguar XE Portfolio Diesel,Jaguar,2019  XE Portfolio Diesel,2019,"52,346 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 34.45 Lakh,"Rs. 62,004"
2018 Volkswagen Tiguan Comfortline TDI,Volkswagen,2018  Tiguan Comfortline TDI,2018,"68,819 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 19.5 Lakh,"Rs. 35,096"
2022 Maruti Suzuki Grand Vitara Alpha Smart Hybrid [2022-2023],Maruti,2022  Suzuki Grand Vitara Alpha Smart Hybrid [2022-2023],2022,"52,628 km",Hybrid,Manual,"Nagarjuna Hills, Hyderabad",Rs. 14.5 Lakh,"Rs. 26,097"
2019 Tata Harrier XZ [2019-2020],Tata,2019  Harrier XZ [2019-2020],2019,"80,458 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 11.5 Lakh,"Rs. 20,698"
2023 MG Astor Sharp 1.5 CVT Ivory [2023-2024],MG,2023  Astor Sharp 1.5 CVT Ivory [2023-2024],2023,"34,038 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh,"Rs. 24,297"
2024 MG Hector Sharp Pro 1.5 Turbo Petrol  CVT [2023],MG,2024  Hector Sharp Pro 1.5 Turbo Petrol  CVT [2023],2024,"6,350 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 22 Lakh,"Rs. 39,596"
"2018 Mercedes-Benz GLC 220 d Progressive1,",Mercedes-Benz,"2018  GLC 220 d Progressive1,",2018,"26,500 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 27.5 LakhRs,"Rs. 49,495"
2019 Tata Tiago Revotron XZ,Tata,2019  Tiago Revotron XZ,2019,"71,522 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 4.01 Lakh,"Rs. 7,217"
2018 Skoda Rapid Ambition 1.6 MPI AT,Skoda,2018  Rapid Ambition 1.6 MPI AT,2018,"41,056 km",Petrol,Automatic,"Hankimpet, Hyderabad",Rs. 6.4 Lakh,"Rs. 11,518"
2023 MG Hector Plus Sharp Pro 1.5 Turbo Petrol MT 7 STR [2023],MG,2023  Hector Plus Sharp Pro 1.5 Turbo Petrol MT 7 STR [2023],2023,"34,089 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 19 Lakh,"Rs. 34,196"
2023 MG Hector Sharp Pro 1.5 Turbo Petrol  CVT [2023],MG,2023  Hector Sharp Pro 1.5 Turbo Petrol  CVT [2023],2023,"16,111 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 20 Lakh,"Rs. 35,996"
2023 MG Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,MG,2023  Hector Plus Sharp 2.0 Diesel Turbo MT 6-STR,2023,"35,184 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 19.4 Lakh,"Rs. 34,916"
2018 Maruti Suzuki Swift ZDi AMT [2018-2019],Maruti,2018  Suzuki Swift ZDi AMT [2018-2019],2018,"69,757 km",Diesel,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 6.5 Lakh,"Rs. 11,698"
2019 MG Hector Sharp 1.5 DCT Petrol [2019-2020],MG,2019  Hector Sharp 1.5 DCT Petrol [2019-2020],2019,"43,490 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2018 Skoda Rapid Ambition 1.6 MPI AT,Skoda,2018  Rapid Ambition 1.6 MPI AT,2018,"41,056 km",Petrol,Automatic,"Hankimpet, Hyderabad",Rs. 6.4 Lakh,"Rs. 11,518"
